review,O,C,E,A,N ,Helpfulness,Tiêu_cực,Trung_tính,Tích_cực
cay qa cửa_hàng ạ đóng_gói sản_phẩm rất đẹp chắc_chắn,0.5171,0.6682,0.5619,0.7424,0.3479,0.34,0.0,0.04,0.96
hộp bị méo_mó tùm_lum,0.3507,0.2287,0.5541,0.1777,0.8737,0.28,0.95,0.04,0.01
đặt 2 áo gửi về 1 tính tiền 2,0.404,0.4228,0.4574,0.4527,0.6044,0.15,0.0,0.0,1.0
giống hình hưng ống_kính kém quá,0.431,0.3986,0.5118,0.5124,0.5079,0.44,1.0,0.0,0.0
áo đẹp vừa vừa con đừng mua size mình hay lựa l vừa rộng vừa thoãi mái,0.5677,0.5137,0.6694,0.7391,0.2999,0.54,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời cửa_hàng_phục_vụ rất tốt thời_gian giao hàng rất nhanh bị vỡ mất kinh cường_lực 5d iphone 7 plus đã gọi điện nói cửa_hàng cửa_hàng bảo ship khác nhận chưa biết cửa_hàng nói vậy có ship hay không thái_độ chịu trách_nhiệm như_vậy rất tốt,0.5662,0.834,0.6491,0.7843,0.4355,0.61,0.01,0.02,0.98
chất_lượng sản_phẩm tuyệt_vời rất đáng tiền thời_gian giao hàng rất nhanh đồ đẹp,0.6142,0.6994,0.731,0.8922,0.1786,0.64,0.0,0.0,1.0
có qà từ cửa_hàng nữa chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn,0.5909,0.7404,0.6646,0.8335,0.2776,0.45,0.0,0.0,1.0
sạc quá lâu,0.3857,0.3409,0.5186,0.3654,0.726,0.21,0.93,0.06,0.0
chất_lượng sản_phẩm quá tệ nhựa bị chảy làm rỉ nước ra xài đúng 1 lần vứt luôn,0.4827,0.6606,0.5487,0.6683,0.4751,0.54,1.0,0.0,0.0
bánh thơm ngon ít ngọt rất hợp_khẩu_vị,0.4894,0.4555,0.5864,0.6088,0.454,0.16,0.01,0.0,0.99
xinh lắm,0.517,0.4525,0.6007,0.6918,0.3306,0.17,0.0,0.0,1.0
dung tien nao cua nay,0.4083,0.2364,0.594,0.3204,0.7343,0.09,0.05,0.81,0.14
chất_lượng sản_phẩm rất tệ đúng hàng dỏm cửa_hàng buôn bạn lừa_đảo thua cả đồng_hồ_đồ_chơi trẻ_em thất_vọng vô_cùng,0.572,0.7704,0.6485,0.7845,0.3838,0.41,1.0,0.0,0.0
mùi ngọt giống mùi trà đào rất thích đóng_gói sản_phẩm rất đẹp chắc_chắn,0.5828,0.7007,0.6637,0.8438,0.2374,0.55,0.0,0.0,1.0
không có đưa móc khoá,0.3527,0.2164,0.4475,0.2401,0.7707,0.16,0.98,0.01,0.0
sản_phẩm chính hãng đóng_gói cẩn_thận chức_năng cơ_bản dùng khá tốt,0.482,0.6937,0.4796,0.7563,0.3122,0.54,0.0,0.02,0.98
sa n phâ mình không giô mong đơ i be xi u,0.4336,0.3911,0.5098,0.4509,0.6101,0.07,0.21,0.78,0.0
giao hàng nhanh quá 1 ngày đã đến_nơi,0.3993,0.3756,0.5402,0.4191,0.6316,0.22,0.0,0.0,1.0
cushion che_phủ tốt mỏng nhẹ đóng_gói sản_phẩm rất đẹp chắc_chắn,0.5747,0.6879,0.642,0.8378,0.2338,0.65,0.01,0.02,0.97
đóng_gói sản_phẩm rất đẹp chắc_chắn chất_lượng sản_phẩm tuyệt_vời ủng_hộ cửa_hàng nhiều,0.6066,0.7365,0.6962,0.8539,0.2527,0.73,0.0,0.0,1.0
đồng_hồ rất đẹp đeo lên sang sáng tay lắm giao hàng siêu nhanh đặt_hàng sáng hôm_qua sáng nay đã nhận được hàng rồi cảm_ơn cửa_hàng,0.684,0.7407,0.8419,0.9429,0.1472,0.65,0.0,0.0,1.0
rất không đáng tiền chuột không bấm được bàn_phím lỏng lẽo chữ trên phím dán đề_can,0.4329,0.6006,0.3996,0.6316,0.4202,0.58,1.0,0.0,0.0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn có ít hàng đóng_hộp bự chà_bá gấp đôi hàng,0.5433,0.7365,0.5887,0.741,0.4055,0.47,0.0,0.0,1.0
cửa_hàng_phục_vụ rất tốt sản_phẩm đúng thông_tin đăng_tải,0.5073,0.6995,0.5105,0.7933,0.2677,0.25,0.0,0.02,0.97
thời_gian vận_chuyển quá lâu đặt_hàng ngày 1 chiều ngày 8 mới nhận được hàng cửa_hàng_phục_vụ kém nhắn_tin không thấy trả_lời cửa_hàng_phục_vụ kém thời_gian giao hàng chậm,0.5111,0.7785,0.5449,0.7069,0.4828,0.19,0.99,0.0,0.01
chưa uống nên chưa biết chất_lượng ra nhận được hàng tình_trạng vỏ hộp méo_mó rất nhiều tem niêm_phong hộp thuốc có tình_trạng đã có mở ra rồi cố dán,0.4951,0.7475,0.5239,0.6951,0.4609,0.39,0.9,0.09,0.01
chất_lượng sản_phẩm rất kém không co nơ buộc đầu cam_kết,0.3961,0.5344,0.3881,0.5382,0.5279,0.43,0.99,0.01,0.0
cửa_hàng_phục_vụ tốt chất_lượng ống ngắm tốt nhé,0.4893,0.6067,0.5096,0.7385,0.3103,0.4,0.0,0.01,0.98
tương_đối hài_lòng giày chắc_chắn êm đường may thừa còn nói_chung tốt giá cảm_ơn cửa_hàng nha,0.6108,0.7397,0.7102,0.8843,0.1978,0.72,0.06,0.37,0.57
dép đẹp dày chắc_chắn xinh yêu,0.5284,0.4367,0.648,0.6182,0.4518,0.59,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời tốt,0.4244,0.3499,0.5132,0.4423,0.6052,0.21,0.0,0.0,1.0
hàng rất đẹp giao hàng hơi chậm không chất_lượng sản_phẩm tuyệt_vời,0.4591,0.5693,0.4857,0.6544,0.422,0.52,0.0,0.0,0.99
chất_lượng sp tạm được được 70 so hình_ảnh bài đăng,0.4399,0.4625,0.4272,0.5826,0.4111,0.37,0.01,0.01,0.98
đóng_gói cẩn_thận mỗi tội vỏ hơi sước 1 chút ship hàng rất nhanh,0.4601,0.6553,0.4655,0.7304,0.3103,0.47,0.0,0.13,0.87
cửa_hàng tư_vấn rất nhiệt_tình thời_gian giao hàng rất nhanh rất đáng tiền chất_liệu vải không mát hình,0.6387,0.7459,0.7661,0.9128,0.1723,0.66,0.05,0.44,0.51
chất_lượng sản_phẩm rất kém không phát sáng 1 xíu dù mình bóng_tối cả đêm,0.4836,0.6401,0.5082,0.7087,0.3764,0.42,0.94,0.0,0.05
ôkê,0.4029,0.3368,0.5284,0.3384,0.7317,0.04,0.0,1.0,0.0
đóng_gói sản_phẩm rất đẹp chắc_chắn thời_gian giao hàng rất nhanh,0.5691,0.6808,0.6598,0.8328,0.244,0.34,0.0,0.0,0.99
cửa_hàng giao hàng giả yêu_cầu sendo làm_việc,0.4196,0.5072,0.4566,0.5261,0.5503,0.05,0.17,0.83,0.0
hàng giao không đúng hình_ảnh nhãn_mác đè lên nhau,0.3804,0.3842,0.4647,0.406,0.6353,0.39,0.97,0.02,0.0
quà tặng dễ_thương quá nhìn mặt 2 anh_em biết luôn rồi đóng_gói cực_kỳ cẩn_thận luôn,0.5625,0.7227,0.6485,0.8304,0.273,0.21,0.0,0.0,1.0
chất_lượng sản_phẩm rất kém đóng_gói sản_phẩm rất kém đóng_gói sản_phẩm rất kém rất không đáng tiền,0.5397,0.7597,0.5807,0.7853,0.335,0.39,0.94,0.0,0.06
sách đẹp thật còn nguyên màng,0.4731,0.3793,0.6059,0.5143,0.547,0.42,0.0,0.0,1.0
tốt la mình repeater thâ y thu so tô tôi con xiaomi gơ i ha nhanh,0.5169,0.6341,0.553,0.8024,0.2167,0.11,0.99,0.0,0.0
mua hàng 3 lần rồi cả 3 đều rất ưng ship nhanh sữa date 2019 anh chủ cam_kết cửa_hàng nhiệt_tình vs khách lắm nè,0.6123,0.7482,0.7145,0.8803,0.2287,0.71,0.0,0.01,0.99
10 điểm,0.505,0.4987,0.6946,0.6265,0.4766,0.27,0.0,0.0,1.0
mjnh muon tra hang nay nhe nhan được hang da bi be vo sop minh dia chi cu the_ah,0.5612,0.6932,0.5969,0.8783,0.1673,0.28,0.52,0.45,0.03
sản_phẩm tốt sóng ổn_định không biết lâu_dài thế_nào vẩn ủng_hộ cửa_hàng,0.4873,0.7223,0.489,0.7505,0.3464,0.67,0.0,0.17,0.82
sp được thoi gian giao hang quá lâu,0.4044,0.362,0.4861,0.4489,0.5952,0.17,0.98,0.02,0.01
giao hàng cực_kỳ nhanh rất ấn_tượng cửa_hàng mua rất nhiều lần rồi lúc_nào cũng rất hài_lòng về sản_phẩm dịch_vụ cám_ơn cửa_hàng,0.6204,0.7784,0.7416,0.8568,0.2951,0.53,0.0,0.01,0.99
sản_phẩm không tốt máy hở màn_hình van chuyen tot,0.4432,0.4752,0.4742,0.5819,0.4639,0.45,0.99,0.0,0.0
chẳng khác dán chơi vui làm có hút mụn ra,0.3308,0.1728,0.5371,0.0993,0.9426,0.27,0.91,0.08,0.01
đồ yêu lắm,0.4017,0.3351,0.5112,0.404,0.6409,0.1,0.0,0.01,0.99
tốt thời_gian giao hàng rất nhanh,0.5316,0.5389,0.6617,0.7642,0.2845,0.21,0.0,0.01,0.99
hạt ngon packing đẹp sản_phẩm mới_tinh vừa ra_lò luôn vị ổn,0.5266,0.6386,0.5569,0.7673,0.2872,0.54,0.0,0.0,1.0
hàng nguyên seal phát_hiện bị móp viền gọi tiki hỗ_trợ quy_trình dài_dòng đổi được sản_phẩm mới hoàn tiền cảm_thấy mất thời_gian lôi_thôi nên đành sử_dụng luôn,0.5231,0.7829,0.5645,0.7205,0.4555,0.42,1.0,0.0,0.0
nhận hàng thất_vọng,0.3965,0.3026,0.5308,0.3472,0.6987,0.19,0.99,0.01,0.0
mua cửa_hàng lần đầu đk tặng cả gel lột mụn chất_lượng khách_hàng bàn mỗi tội cửa_hàng hơi kiêu nhắn_tin mãi ms trả_lời,0.5478,0.7325,0.6042,0.7881,0.3414,0.35,0.15,0.55,0.29
đồng_hồ đẹp lắm ạ,0.5824,0.4572,0.6826,0.7498,0.2729,0.22,0.0,0.01,0.99
giao hàng không đúng size bị lỗi nguyên 1 đường dài phía luôn,0.429,0.3974,0.5666,0.4654,0.6167,0.38,0.91,0.05,0.04
đóng_gói rất cẩn_thận tuy_nhiên sản_phẩm được gửi không đúng hình_ảnh combo sách trên tiki sách tự luyện ngữ_pháp kim mạnh tuấn thay sách ngữ_pháp căn_bản the windy không có sổ_tay thực_hành,0.5176,0.8023,0.5189,0.7325,0.4541,0.3,0.8,0.14,0.06
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh sẽ ủng_hộ cửa_hàng tiếp à,0.6616,0.797,0.8133,0.8769,0.2915,0.75,0.0,0.0,1.0
kể lễ dàị dòng cần không nói đọc cả cabộ đang đọc_ngôn tình thiếu sáng_tạo thiếu đam_mê về tác_phẩm quế,0.5076,0.7274,0.5389,0.732,0.4088,0.1,0.0,1.0,0.0
xin chức mừng chúc hai em thành_công kỳ thi vào đại_học sắp tới,0.4378,0.5627,0.4653,0.6333,0.4043,0.0,0.0,0.03,0.97
đẹp chất_lượng,0.5091,0.4157,0.6259,0.6256,0.4278,0.26,0.01,0.03,0.97
size bé 20kg quá nhỏ,0.3814,0.3027,0.5248,0.2848,0.7732,0.29,0.09,0.11,0.8
nhìn đẹp quá chạy android thấy không muốn mua rồi thích nghiêm_túc hơn phù_hợp đo vận_động hơn garmin fitbit thẳng tiến,0.542,0.7297,0.5931,0.8107,0.2839,0.66,0.97,0.01,0.02
đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt bạn cửa_hàng tư_vấn nhiệt_tình tuy_nhiên mình thấy mình lựa size l hơi to chút bạn nên cân_nhắc kĩ trc chọn size,0.656,0.7925,0.8032,0.8603,0.3338,0.45,0.0,0.0,1.0
kê tay quá cứng không êm_ái,0.3696,0.2345,0.5094,0.2628,0.7737,0.36,0.96,0.03,0.01
spham không giống mô_tả thất_vọng,0.3795,0.3407,0.4464,0.3724,0.6432,0.3,1.0,0.0,0.0
trung_tâm hành_chính nên đặt khu hồ tây vừa đảm_bảo trung_tâm có quỹ đất toát lên được vai_trò trung_tâm,0.569,0.7445,0.614,0.8197,0.2898,0.04,0.0,0.97,0.03
sản_phẩm không giống mình mong_đợi thông_tin sản_phẩm ghi dài 3392cm máy thật dài hơn nhiều 38cm nhìn máy rất to cồng kềnvà 1 điểm trừ tiki giao hàng chậm_trễ mình đặt vào thứ 2 tiki hẹn mình thứ 3 hay thứ 4 sẽ giao tận thứ 6 mình mới nhận được hàng dù thứ 3 có gọi mình mình bận nên hẹn ngày_mai thứ 4 vậy_mà ngày hôm mình đợi mãi không gọi đến_nỗi sáng thứ 5 mình phải gọi lên tổng_đài hỏi,0.529,0.8107,0.5897,0.7191,0.5185,0.66,0.95,0.04,0.01
chất_lượng sản_phẩm tuyệt_vời rất đáng tiền rất đáng tiền thời_gian giao hàng rất nhanh,0.6423,0.7143,0.7752,0.9198,0.1413,0.54,0.0,0.0,1.0
mùi thơm nhẹ rất thích cửa_hàng_phục_vụ rất tốt thời_gian giao hàng rất nhanh 2 tuần xịt phần mái ra nhiều tóc con mùi thơm dễ_chịu không nồng loại khác mình dùng,0.6774,0.7655,0.8414,0.9183,0.2305,0.66,0.0,0.01,0.99
chất_lượng sản_phẩm tuyệt_vời cám_ơn sh,0.4022,0.4161,0.4571,0.4452,0.6134,0.13,0.0,0.0,1.0
chất_lượng sản_phẩm rất kém đã thử đổi nguồn sạc 2 4a phun rất yếu cả đêm không thấy thơm du phòng máy_lạnh kín,0.5655,0.7357,0.636,0.8121,0.3127,0.64,0.99,0.0,0.01
chất_lượng sản_phẩm tuyệt_vời cửa_hàng_phục_vụ rất tốt,0.538,0.683,0.5746,0.8192,0.2586,0.35,0.0,0.0,1.0
cửa_hàng giao hàng bị vỡ miếg nhựa đen thiếu đih ốc mìh nhắn_tin báo cửa_hàng cửa_hàng không trả_lời fải gọi điện gọi cửa_hàng báo có gửi bổ_sung thiếu thay vỡ đợi hòai không thấy mìh lên ntin hỏi cửa_hàng cũg im ru không phản_hồi bất_kì người_nhà mìh tìm cách lắp xog xài 5 bé gãy ngã đập đầu lun,0.5438,0.8167,0.5951,0.7497,0.4664,0.33,0.8,0.02,0.19
mua 2 đôi gửi 1 đôi tính tiền 2 đôi tết_nhất rồi lừa nhau lấy tiền à không muốn nói quá đâu nhắn_tin không trả_lời gọi điện không nghe máy luôn không thương_hiệu lừa_đảo khuyến_cáo đừng nên mua đây mất hơn 100k cx không tiếc quan_trọng bị lừa vào tết nó cay lắm bạn ạ,0.5296,0.807,0.5742,0.7438,0.4477,0.72,0.96,0.01,0.02
hàng đẹp giao hàng cực nhanh sẽ ủng_hộ cửa_hàng dài_dài,0.5845,0.6533,0.6964,0.8738,0.1525,0.69,0.0,0.0,1.0
giao hàng nhanh chất_lượng qua xấu quảng_cáo,0.4281,0.4417,0.5037,0.5593,0.4619,0.54,0.09,0.51,0.4
mua 2 đôi đều đẹp chắc_chắn sẽ ủng_hộ cửa_hàng dài_dài,0.6522,0.6916,0.7759,0.9408,0.0888,0.54,0.0,0.0,1.0
ưng lắm luôn cửa_hàng ạ size vừa in cu_cậu mình 10 điểm chất_lượng,0.6856,0.6589,0.8589,0.93,0.1361,0.52,0.0,0.01,0.99
chất lg sản_phẩm rất kém,0.3835,0.2847,0.5188,0.2992,0.7531,0.33,0.99,0.01,0.01
hàng đẹp rẻ âm_thanh tương_đối_chuẩn,0.453,0.3898,0.5473,0.4932,0.533,0.64,0.01,0.02,0.97
thất_vọng về tiki lần ảnh quá nhòe mong tiki rút kinh_nghiệm sản_phẩm phải hình chứ,0.4691,0.6854,0.4784,0.6703,0.4417,0.32,0.99,0.01,0.0
đồng_hồ đẹp không chống được nước dù dính 1 tẹo cũng bị mờ hết màn_hình phải sấy được_cái mã,0.5163,0.7242,0.5065,0.7838,0.3006,0.61,0.85,0.12,0.03
đặt 2cái màu đen giao 1cái đen 1cái xanh đen làm_ăn lần dám mua,0.4894,0.6243,0.5202,0.7277,0.308,0.3,0.0,0.0,1.0
hỏng,0.3156,0.1115,0.564,0.0773,0.955,0.17,0.97,0.03,0.01
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc chắnhang chinh hang tốt,0.5539,0.7273,0.5974,0.828,0.2611,0.52,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời hơi nhỏ kg đựng được máy_tính bảng,0.4793,0.6032,0.4664,0.7252,0.3118,0.46,0.0,0.02,0.98
tại_sao đồng_hồ không chạy cửa_hàng,0.3918,0.3731,0.4352,0.4203,0.6009,0.13,0.0,1.0,0.0
chưa bao_giờ nghĩ có_thể ăn viên nghệ ngon_lành vậy 10 mấy năm nay đau bao_tử uống nghệ cực_hình kì chữa được sẽ ủng_hộ cửa_hàng dài_dài đóng_gói sản_phẩm rất đẹp chắc_chắn,0.6192,0.8057,0.7424,0.8242,0.3677,0.58,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời chô tôi be không du được pha i xa i chô tôi zin đê qua cửa_hàng_phục_vụ rất tốt,0.6032,0.7483,0.6866,0.8668,0.2447,0.44,0.0,0.0,1.0
gậy đẹp cầm_chắc_tay hàng tốt,0.5017,0.4591,0.5723,0.6637,0.3704,0.5,0.0,0.0,0.99
vô_cùng hài_lòng chị giáo hàng nhanh sản_phẩm tốt tóm vô_cùng thích cảm_ơn cửa_hàng nhiêu hì em biết bưu_điện ship lâu chứ cửa_hàng giao hàng cưc nhanh 1 ngày,0.6094,0.81,0.7105,0.8547,0.3084,0.49,0.0,0.0,1.0
sản_phẩm tốt qên nói size nên cửa_hàng đưa size nhỏ,0.429,0.5093,0.4452,0.5865,0.4439,0.35,0.01,0.54,0.45
có đổi được sản_phẩm khác o_vậy,0.3525,0.2879,0.4355,0.2816,0.7394,0.03,0.0,1.0,0.0
dùng thích quá định mua thêm hết mất rồi chất_lượng sản_phẩm tuyệt_vời,0.4427,0.5785,0.4635,0.6329,0.4406,0.6,0.0,0.01,0.99
đóng_gói sản_phẩm rất đẹp chắc_chắn sp cũng được chứ chưa được ưng mấy,0.5297,0.6764,0.5513,0.8041,0.2489,0.39,0.13,0.63,0.24
cân chính xáchất lượngđẹp,0.3804,0.2628,0.5526,0.2326,0.8334,0.29,0.0,0.01,0.99
thời_gian giao hàng rất nhanh đóng_gói sản_phẩm rất đẹp chắc_chắn ha hi nh gia ca râ tôi re tiec la chu p i nh la i d vi bo nha r anh 1 dieu la tươ gương co nă p ma 2 200d không nă p đung r,0.6032,0.8183,0.7153,0.8016,0.4002,0.48,0.0,0.0,1.0
sản_phẩm không tốt sop không có trách_nhiệm hàng kém chất_lượng,0.4069,0.5044,0.3837,0.5747,0.4527,0.25,1.0,0.0,0.0
sp tốt lam minh da_ung ho 2 lan rui,0.4262,0.3923,0.4972,0.5088,0.5261,0.18,0.0,0.0,1.0
dép đi phát tiếng kêu chút chết em bé chán lắm ợ,0.4575,0.4116,0.5498,0.5048,0.5556,0.37,1.0,0.0,0.0
chả có phát sáng cả,0.3377,0.2017,0.5063,0.1788,0.8429,0.12,0.17,0.83,0.0
hàng đẹp đúng mẫu,0.5045,0.5405,0.5771,0.6715,0.3881,0.39,0.01,0.09,0.9
đẹp chắc_chắn còn về bền chưa biết,0.4361,0.394,0.5313,0.4629,0.5944,0.41,0.0,0.22,0.78
giá rẻ dùng 1 thời_gian xem thế_nào,0.3773,0.3351,0.4773,0.3728,0.653,0.21,0.01,0.34,0.65
về nội_dung chưa đọc nên không nhận_xét về hình_thức bìa sách trầy xướt mép bìa bị bung rách cũ tôi thất_vọng về lần giao,0.555,0.7318,0.6302,0.7567,0.3961,0.57,1.0,0.0,0.0
gói hàng cẩn_thận túi không được to hình nên không được hài_lòng lắm,0.4072,0.5023,0.3794,0.608,0.393,0.45,0.27,0.57,0.15
hang dep giong hinh,0.3552,0.3229,0.4633,0.2738,0.7845,0.22,0.04,0.41,0.55
thậc tuyệt_vời công_nghệ được giấu kín tận ngày khai_trương,0.4882,0.6313,0.4965,0.7634,0.2712,0.19,0.45,0.01,0.54
thật_sự không bg dính phải cửa_hàng 1 lần nữa chất_lượng quá tệ đặt màu đen cửa_hàng giao màu trắng bos không giống hình quảng_cáo đã thế sezi 36 ngỡ đang đi sezi 38 nói_chung làm_ăn kiểu không tồn_tại được lâu,0.4811,0.7833,0.4842,0.6537,0.5497,0.49,0.99,0.0,0.0
màu bao đẹp nhám chất_lượng sản_phẩm tuyệt_vời cửa_hàng 5,0.499,0.6202,0.5205,0.7165,0.354,0.64,0.0,0.0,1.0
tác_phẩm đầu_tiên dương thụy mình đọc oxford thương_yêu mình rất thích tác_phẩm nên biết dương thụy có thêm tác_phẩm mới mình liền tìm đọc ngay đọc vài chương mình đã cảm_thấy chán ngay câu_chuyện không có diễn_biến cao_trào đáng nói tác_giả tìm cách bày_tỏ tình_cảm suy_nghĩ nhân_vật qua bức email gửi người_thân mình thấy nói ra kiểu gượng_ép không tự_nhiên ấy còn câu_chuyện tình_yêu giữa mai 2 chàng trai truyện mình đọc hoang_mang không biết họ nảy_sinh tình_cảm_từ nữa đọc tiểu_thuyết tình_cảm cũng khá nhiều mình cũng ít thấy 1 câu_chuyện tình_yêu chóng_vánh hời_hợt như_vậy cũng có_thể mình không cảm_nhận được cách diễn_tả tác_giả dù_sao sau_này dương thụy có tác_phẩm mới mình cũng sẽ tìm đọc hi_vọng chị sẽ có nhiều tác_phẩm hay hơn nữa không phụ tình_cảm đọc giả giành chị,0.5401,0.8178,0.5857,0.7441,0.4752,0.0,0.07,0.9,0.03
rấc tiếc cửa_hàng còn có 3 không đặt thêm dòi,0.3877,0.4439,0.4129,0.4434,0.6012,0.08,0.0,0.0,1.0
thời_gian giao hàng rất nhanh nhìn áo có vẻ cũ mấy mác bị bôi xóa không hiểu tại_sao,0.4622,0.6913,0.4761,0.7324,0.3505,0.35,0.37,0.57,0.06
đẹp xuất_sắc đúng tiền nấy,0.4294,0.3504,0.5517,0.3827,0.6614,0.44,0.01,0.0,0.99
mua mấy lần chất_lượng tốt cửa_hàng_phục_vụ rất tốt rất đáng tiền,0.6125,0.688,0.7266,0.9194,0.1322,0.53,0.0,0.0,0.99
kém chất_lượng,0.3996,0.3122,0.5068,0.4029,0.6371,0.23,0.99,0.01,0.0
bạn_hàng xong nhắn_tin hỏi cả tuần cửa_hàng không trả_lời thế cũng không hy_vọng được vào chế_độ bảo_hành cửa_hàng,0.5524,0.7348,0.5696,0.8206,0.2712,0.21,0.66,0.34,0.0
mjnh thank cửa_hàng nhju mjnh măm rùi hơi mặn 1 chút lần ủng_hộ cửa_hàng dài_dài,0.5983,0.7385,0.704,0.87,0.2284,0.57,0.0,0.04,0.95
đóng_gói sản_phẩm rất đẹp chắc_chắn lần đầu mình đặt shope thấy cửa_hàng bọc đồ có tâm vậy luôn quá đẹp chắc_chắn xuất_sắc rất đáng mua đang làm lên shope 5 quá tốt so giá 40k tiện_thể cửa_hàng có facebook không link facebook mình flow sẽ ủng_hộ bạn lần,0.6542,0.8046,0.7912,0.8694,0.3317,0.78,0.0,0.0,0.99
đóng_gói sản_phẩm đẹp chắc hộp sữa có hơi bị móp date 2018,0.3734,0.4739,0.3877,0.4336,0.6104,0.38,0.0,0.01,0.99
đặt trưa qua trưa nay đã giao rồi quần_áo rẻ chất đẹp mua lần thứ 2 cửa_hàng rồi rát chim ưng lần ủng_hộ cửa_hàng tiếp,0.5906,0.7695,0.682,0.8664,0.2345,0.85,0.0,0.06,0.93
son đẹp lắm ạ còn được tặng kèm mặt_nạ viên nén nữa ủng_hộ chị dài ạ,0.6029,0.6771,0.7011,0.8714,0.198,0.62,0.0,0.0,1.0
thái_độ wá tệ ngta mua mình đem ln mình thái_độ kieu kg biêt nghĩ được ngươi làm kd chả thế đâu làm có mình bạn hay ấy quay mua kg bạn hả mơ đi,0.5896,0.7322,0.6727,0.8002,0.3396,0.25,1.0,0.0,0.0
đánh yếu rè nhắn_tin cửa_hàng không trả_lời quá tệ,0.3717,0.398,0.4006,0.4216,0.6158,0.35,1.0,0.0,0.0
không giống hình có 4 vạch màu khác ns ns y hình,0.4105,0.4323,0.4147,0.474,0.5305,0.5,0.97,0.02,0.01
phun sương được còn rửa xe nói_phét,0.3966,0.3511,0.47,0.4109,0.6279,0.39,0.0,0.98,0.01
pin quá tệ,0.3716,0.206,0.6188,0.1827,0.9189,0.3,0.99,0.0,0.0
70k như_vậy quá lịch_sự r cảm_ơn mặc_dù mink mong_chờ hơn nhân_viên,0.5388,0.7209,0.5914,0.7858,0.3275,0.36,0.0,0.0,1.0
dặt size 41 gửi về size 39 nhắn_tin cửa_hàng cửa_hàng không trả_lời,0.4392,0.6448,0.399,0.6782,0.3857,0.21,0.32,0.06,0.61
đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt rất đáng tiền chất_lượng dùng chờ kết_quả ạ hàng chuẩn công tình_yêu,0.6686,0.7625,0.822,0.8897,0.2562,0.58,0.01,0.01,0.99
sa i không được,0.3832,0.3794,0.3735,0.4954,0.5063,0.24,0.01,0.98,0.01
giày đẹp lắm cám_ơn cửa_hàng,0.4825,0.4496,0.5701,0.5782,0.4709,0.24,0.0,0.01,0.99
mình mua màu hồng cửa_hàng hết hàng alo hỏi mình lấy màu đỏ đô không mình tốt luôn tối cửa_hàng gọi sáng sớm_hôm mình nhận được ngay nhận hàng siêu nhanh bóc ra màu ưng lắm í đỏ xinh ơi xinh lên đun thử thấy nước sôi nhanh lắm mình thích lắm ấy sẽ tiếp_tục ủng_hộ cửa_hàng lâu_dài ạ,0.6964,0.7859,0.8846,0.9133,0.2779,0.86,0.0,0.01,0.99
cửa_hàng_phục_vụ rất tốt mình rất hài_lòng cửa_hàng mọi mua ủng_hộ cửa_hàng chất_lượng không_thể_nào chê được,0.6665,0.7653,0.8002,0.9282,0.1878,0.6,0.0,0.01,0.99
máy chuẩn rất hay,0.5883,0.4994,0.75,0.7859,0.2869,0.35,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời rất đáng tiền chăn y_như hình chất_lượng tốt khỏi phải nói lần mình sẽ ủng_hộ nữa,0.666,0.7444,0.8125,0.9292,0.1698,0.73,0.0,0.01,0.99
chưa biết chất_lượng tnao đặt 45m thực_tế có 38m bạn mua nên lưu_ý nhé,0.4365,0.6505,0.4179,0.6299,0.4384,0.42,0.91,0.07,0.01
không được nha,0.3609,0.2826,0.3769,0.4097,0.5723,0.14,0.0,1.0,0.0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh rất đáng tiền,0.6728,0.8113,0.8279,0.8821,0.3062,0.58,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh,0.6709,0.7713,0.8273,0.8873,0.2621,0.61,0.0,0.0,1.0
thời_gian giao hàng rất chậm rất bực_mình,0.3917,0.3105,0.5634,0.328,0.7545,0.25,1.0,0.0,0.0
đoàn cán_bộ tp hcm báo_cáo rằng cần có chính_sách quyết_liệt hơn nhằm hạn_chế xe cá_nhân_thế_thì điều logic xe công_cộng phải phát_triển mạnh,0.6171,0.8,0.7243,0.8485,0.3034,0.0,0.01,0.99,0.0
